PRÁCTICA 3

Resultado:
--------------------------------------------------------
       Value     Percentile TotalCount 1/(1-Percentile)    |          Value     Percentile TotalCount 1/(1-Percentile) 
                                                           |                                                           
    10.00000 0.000000000000        219           1.00      |       10.00000 0.000000000000          3           1.00   
    10.00000 0.100000000000        219           1.11      |      219.00000 0.100000000000         41           1.11   
    10.00000 0.200000000000        219           1.25      |      375.00000 0.200000000000         80           1.25   
    10.00000 0.300000000000        219           1.43      |      506.00000 0.300000000000        120           1.43   
    10.00000 0.400000000000        219           1.67      |      682.00000 0.400000000000        160           1.67   
    10.00000 0.500000000000        219           2.00      |      803.00000 0.500000000000        200           2.00   
    11.00000 0.550000000000        251           2.22      |      859.00000 0.550000000000        220           2.22   
    11.00000 0.600000000000        251           2.50      |      957.00000 0.600000000000        240           2.50   
    20.00000 0.650000000000        281           2.86      |     1158.00000 0.650000000000        260           2.86   
    20.00000 0.700000000000        281           3.33      |     1503.00000 0.700000000000        281           3.33   
    40.00000 0.750000000000        306           4.00      |     1681.00000 0.750000000000        300           4.00   
    41.00000 0.775000000000        320           4.44      |     1769.00000 0.775000000000        310           4.44   
    41.00000 0.800000000000        320           5.00      |     1868.00000 0.800000000000        320           5.00   
    51.00000 0.825000000000        330           5.71      |     1958.00000 0.825000000000        330           5.71   
    61.00000 0.850000000000        349           6.67      |     2131.00000 0.850000000000        340           6.67   
    62.00000 0.875000000000        351           8.00      |     2210.00000 0.875000000000        350           8.00   
    70.00000 0.887500000000        355           8.89      |     2250.00000 0.887500000000        355           8.89   
    71.00000 0.900000000000        362          10.00      |     2299.00000 0.900000000000        360          10.00   
    72.00000 0.912500000000        365          11.43      |     2348.00000 0.912500000000        365          11.43   
    81.00000 0.925000000000        372          13.33      |     2397.00000 0.925000000000        370          13.33   
   101.00000 0.937500000000        376          16.00      |     2448.00000 0.937500000000        375          16.00   
   106.00000 0.943750000000        378          17.78      |     2476.00000 0.943750000000        378          17.78   
   112.00000 0.950000000000        380          20.00      |     2496.00000 0.950000000000        380          20.00   
   142.00000 0.956250000000        384          22.86      |     2526.00000 0.956250000000        383          22.86   
   152.00000 0.962500000000        385          26.67      |     2546.00000 0.962500000000        385          26.67   
   172.00000 0.968750000000        388          32.00      |     2575.00000 0.968750000000        388          32.00   
   173.00000 0.971875000000        389          35.56      |     2585.00000 0.971875000000        389          35.56   
   203.00000 0.975000000000        390          40.00      |     2595.00000 0.975000000000        390          40.00   
   223.00000 0.978125000000        392          45.71      |     2615.00000 0.978125000000        392          45.71   
   233.00000 0.981250000000        393          53.33      |     2625.00000 0.981250000000        393          53.33   
   234.00000 0.984375000000        394          64.00      |     2636.00000 0.984375000000        394          64.00   
   244.00000 0.985937500000        395          71.11      |     2644.00000 0.985937500000        395          71.11   
   244.00000 0.987500000000        395          80.00      |     2644.00000 0.987500000000        395          80.00   
   253.00000 0.989062500000        396          91.43      |     2654.00000 0.989062500000        396          91.43   
   254.00000 0.990625000000        398         106.67      |     2664.00000 0.990625000000        397         106.67   
   254.00000 0.992187500000        398         128.00      |     2664.00000 0.992187500000        397         128.00   
   254.00000 0.992968750000        398         142.22      |     2735.00000 0.992968750000        398         142.22   
   254.00000 0.993750000000        398         160.00      |     2735.00000 0.993750000000        398         160.00   
   254.00000 0.994531250000        398         182.86      |     2735.00000 0.994531250000        398         182.86   
   406.00000 0.995312500000        399         213.33      |     2857.00000 0.995312500000        399         213.33   
   406.00000 0.996093750000        399         256.00      |     2857.00000 0.996093750000        399         256.00   
   406.00000 0.996484375000        399         284.44      |     2857.00000 0.996484375000        399         284.44   
   406.00000 0.996875000000        399         320.00      |     2857.00000 0.996875000000        399         320.00   
   406.00000 0.997265625000        399         365.71      |     2857.00000 0.997265625000        399         365.71   
   497.00000 0.997656250000        400         426.67      |     2886.00000 0.997656250000        400         426.67   
   497.00000 1.000000000000        400                     |     2886.00000 1.000000000000        400                  
#[Mean    =     32.60000, StdDeviation   =     52.01610]   |   #[Mean    =   1059.33500, StdDeviation   =    767.19342]
#[Max     =    497.00000, Total count    =          400]   |   #[Max     =   2886.00000, Total count    =          400]
#[Buckets =            1, SubBuckets     =       262144]   |   #[Buckets =            1, SubBuckets     =       262144]
--------------------------------------------------------
Comentario:
--------------------------------------------------------
